Approved Symbol	Ensembl Gene ID
A12M1~withdrawn	
A12M2~withdrawn	
A12M3~withdrawn	
A12M4~withdrawn	
A1BG	ENSG00000121410
A1S9T~withdrawn	
A2M	ENSG00000175899
A2MP1	ENSG00000256069
A2MR~withdrawn	
A2MRAP~withdrawn	
AA~withdrawn	
AABT~withdrawn	
AAC1~withdrawn	
AAC2~withdrawn	
NATP	ENSG00000253937
SERPINA3	ENSG00000196136
AADAC	ENSG00000114771
AAMP	ENSG00000127837
AANAT	ENSG00000129673
AARS	ENSG00000090861
AATK	ENSG00000181409
AAVS1	
ABAT	ENSG00000183044
ABC1~withdrawn	
ABC2~withdrawn	
ABC3~withdrawn	
ABC50~withdrawn	
ABC7~withdrawn	
ABCA1	ENSG00000165029
ABCA10	ENSG00000154263
ABCA11P	ENSG00000251595
ABCA2	ENSG00000107331
ABCA3	ENSG00000167972
ABCA4	ENSG00000198691
ABCA5	ENSG00000154265
ABCA6	ENSG00000154262
ABCA7	ENSG00000064687
ABCA8	ENSG00000141338
ABCA9	ENSG00000154258
ABCB1	ENSG00000085563
ABCB10	ENSG00000135776
ABCB11	ENSG00000073734
TAP1	ENSG00000168394
TAP2	ENSG00000204267
ABCB4	ENSG00000005471
ABCB5	ENSG00000004846
ABCB6	ENSG00000115657
ABCB7	ENSG00000131269
ABCB8	ENSG00000197150
ABCB9	ENSG00000150967
ABCC1	ENSG00000103222
ABCC10	ENSG00000124574
ABCC2	ENSG00000023839
ABCC3	ENSG00000108846
ABCC4	ENSG00000125257
ABCC5	ENSG00000114770
ABCC6	ENSG00000091262
ABCC7~withdrawn	
ABCC8	ENSG00000006071
ABCC9	ENSG00000069431
ABCD1	ENSG00000101986
ABCD1P1	
ABCD1P2	ENSG00000215151
ABCD1P3	ENSG00000261233
ABCD1P4	ENSG00000225293
ABCD2	ENSG00000173208
ABCD3	ENSG00000117528
ABCD4	ENSG00000119688
ABCE1	ENSG00000164163
ABCF1	ENSG00000204574
ABCF2	ENSG00000033050
ABCF3	ENSG00000161204
ABCG1	ENSG00000160179
ABCG2	ENSG00000118777
ABCR~withdrawn	
ABL1	ENSG00000097007
ABL2	ENSG00000143322
ABLIM1	ENSG00000099204
ABO	ENSG00000175164
AOC1	ENSG00000002726
ABR	ENSG00000159842
ACAA1	ENSG00000060971
ACAA2	ENSG00000167315
ACACA	ENSG00000278540
ACACB	ENSG00000076555
ACAD~withdrawn	
ACAD8	ENSG00000151498
ACADL	ENSG00000115361
ACADM	ENSG00000117054
ACADS	ENSG00000122971
ACADSB	ENSG00000196177
ACADVL	ENSG00000072778
ACAT1	ENSG00000075239
ACAT2	ENSG00000120437
SLC33A1	ENSG00000169359
ACBP~withdrawn	
ACC~withdrawn	
ACCN~withdrawn	
ASIC2	ENSG00000108684
ASIC1	ENSG00000110881
ASIC3	ENSG00000213199
CNNM1	ENSG00000119946
CNNM2	ENSG00000148842
CNNM3	ENSG00000168763
CNNM4	ENSG00000158158
ACH~withdrawn	
ACHAP~withdrawn	
ACHE	ENSG00000087085
ACHM1~withdrawn	
ACHM2~withdrawn	
ACHM3~withdrawn	
ACHRD~withdrawn	
ACHRG~withdrawn	
ACLS	
ACLY	ENSG00000131473
ACMG~withdrawn	
ACO1	ENSG00000122729
ACO2	ENSG00000100412
ACOX1	ENSG00000161533
ACOX2	ENSG00000168306
ACOX3	ENSG00000087008
ACP1	ENSG00000143727
ACP2	ENSG00000134575
ACP5	ENSG00000102575
ACPP	ENSG00000014257
ACR	ENSG00000100312
ACRV1	ENSG00000134940
ACS3~withdrawn	
ACTA1	ENSG00000143632
ACTA2	ENSG00000107796
ACTA3~withdrawn	
ACTB	ENSG00000075624
POTEH	ENSG00000198062
ACTBP1	ENSG00000229145
ACTBP2	ENSG00000213763
ACTBP3	
ACTBP4	
ACTBP5~withdrawn	
ACTBP6	ENSG00000203413
ACTBP7	ENSG00000185607
ACTBP8	ENSG00000220267
ACTBP9	ENSG00000266920
ACTC1	ENSG00000159251
ACTG1	ENSG00000184009
ACTG2	ENSG00000163017
ACTG1P1	ENSG00000178631
ACTG1P2	ENSG00000229129
ACTG1P3	ENSG00000215388
ACTG1P4	ENSG00000236085
ACTBP12	ENSG00000233125
ACTG1P6	
ACTG1P7	
ACTG1P8	
ACTG1P9	ENSG00000229349
ACTG1P10	ENSG00000231340
ACTL2~withdrawn	
ACTL3~withdrawn	
ACTL4~withdrawn	
ACTL5~withdrawn	
ACTL6B	ENSG00000077080
ACTL7A	ENSG00000187003
ACTL7B	ENSG00000148156
ACTN1	ENSG00000072110
ACTN2	ENSG00000077522
ACTN3	ENSG00000248746
ACTN4	ENSG00000130402
ACTR1A	ENSG00000138107
ACTR1B	ENSG00000115073
ACTR2	ENSG00000138071
ACTR3	ENSG00000115091
ACVR1	ENSG00000115170
ACVR1B	ENSG00000135503
ACVR2A	ENSG00000121989
ACVR2B	ENSG00000114739
ACVRL1	ENSG00000139567
ACVRLK2~withdrawn	
ACY1	ENSG00000243989
ACY1L~withdrawn	
ACYP1	ENSG00000119640
ACYP2	ENSG00000170634
AD1~withdrawn	
AD2~withdrawn	
AD3~withdrawn	
AD4~withdrawn	
AD5	
ADA	ENSG00000196839
ADAM1A	ENSG00000229186
ADAM10	ENSG00000137845
ADAM11	ENSG00000073670
ADAM12	ENSG00000148848
ADAM15	ENSG00000143537
ADAM17	ENSG00000151694
ADAM18	ENSG00000168619
ADAM19	ENSG00000135074
ADAM2	ENSG00000104755
ADAM20	ENSG00000134007
ADAM21	ENSG00000139985
ADAM22	ENSG00000008277
ADAM23	ENSG00000114948
ADAM24P	ENSG00000214607
ADAM28	ENSG00000042980
ADAM29	ENSG00000168594
ADAM30	ENSG00000134249
ADAM3A	ENSG00000197475
ADAM3B	ENSG00000260089
ADAM5	ENSG00000196115
ADAM6	ENSG00000271968
ADAM7	ENSG00000069206
ADAM8	ENSG00000151651
ADAM9	ENSG00000168615
ADAMTS1	ENSG00000154734
ADAMTS2	ENSG00000087116
ADAMTS3	ENSG00000156140
ADAMTS4	ENSG00000158859
ADAMTS5	ENSG00000154736
ADAMTS6	ENSG00000049192
ADAMTS7	ENSG00000136378
